id,uuid,scientific_name,common_name,taxon_id,iconic_taxon_name,observed_on,time_observed_at,latitude,longitude,positional_accuracy,coordinates_obscured,image_url,url,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,species_guess,description,license,source
arq-20260520-5034e8,,Plantae,,,Plantae,2026-05-20,2026-05-20T09:59:17,41.2409278,-73.5665583,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/IMG_0031.jpeg,,casual,0,0,false,,Plantae,,CC-BY-NC,arborphy
arq-20260520-1c34e2,,Plantae,,,Plantae,2026-05-20,2026-05-20T10:05:38,41.2417833,-73.5654833,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/IMG_0034.jpeg,,casual,0,0,false,,Plantae,,CC-BY-NC,arborphy
arq-20260520-3bf4fe,,Plantae,,,Plantae,2026-05-20,2026-05-20T10:31:59,41.2398139,-73.5671306,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/IMG_0036.jpeg,,casual,0,0,false,,Plantae,,CC-BY-NC,arborphy
arq-20260520-d1888e,,Arisaema triphyllum,,,Plantae,2026-05-20,2026-05-20T10:32:18,41.2398222,-73.5671083,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Arisaema_triphyllum-ex1.jpeg,,casual,0,0,false,,Arisaema triphyllum,,CC-BY-NC,arborphy
arq-20260520-c544ea,,Arisaema triphyllum,,,Plantae,2026-05-20,2026-05-20T10:32:12,41.2398389,-73.5671167,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Arisaema_triphyllum_ex1_photo2.jpeg,,casual,0,0,false,,Arisaema triphyllum,,CC-BY-NC,arborphy
arq-20260520-031a38,,Carpinas carolinia,,,Plantae,2026-05-20,2026-05-20T09:26:24,41.2382139,-73.5683583,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Carpinas_carolinia_baby_and_diesased_betula_lenda.jpeg,,casual,0,0,false,,Carpinas carolinia,,CC-BY-NC,arborphy
arq-20260520-a51cd7,,Carya gabra,,,Plantae,2026-05-20,2026-05-20T09:55:36,41.2404944,-73.5661611,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Carya_gabra_instance1_baby_terminal_leaf_scar.jpeg,,casual,0,0,false,,Carya gabra,,CC-BY-NC,arborphy
arq-20260520-fe1acc,,Carya glabra,,,Plantae,2026-05-20,2026-05-20T09:55:52,41.2405083,-73.5667722,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Carya_glabra_intstace1_baby_leaves.jpeg,,casual,0,0,false,,Carya glabra,,CC-BY-NC,arborphy
arq-20260520-81200f,,Fagus americana,,,Plantae,2026-05-20,2026-05-20T09:26:50,41.2383083,-73.5682306,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Fagus_americana_diseased.jpeg,,casual,0,0,false,,Fagus americana,,CC-BY-NC,arborphy
arq-20260520-7b6730,,Hammelis virginiana,,,Plantae,2026-05-20,2026-05-20T09:28:20,41.2382861,-73.5679028,,false,/Users/valkyrie/Library/CloudStorage/GoogleDrive-valerie@arborphy.ai/Shared drives/arborphy/Core Data Service/data/Photos/Q1-Hammelis_virginiana.jpeg,,casual,0,0,false,,Hammelis virginiana,,CC-BY-NC,arborphy
