newcomb_species_name,species_inat,subspecies_inat,suggested_species_id,species_page,key_page_range_start,key_page_range_end,key_group_number,key_flower_type,key_plant_type,key_leaf_type,key_subgroup_1,key_subgroup_2,key_subgroup_3,key_description,species_inat_link,subspecies_inat_link,warning_species_extraction,warning_key_extraction
Acnida cannabina,Amaranthus cannabinus,,Amaranthus cannabinus,414.0,412,416.0,832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,,,"Larger leaves 2-12"" long",https://www.inaturalist.org/taxa/145530,,0.0,0.0
Acorus calamus,Acorus americanus,,,398.0,398,400.0,811,Parts Indistinguishable,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,https://www.inaturalist.org/taxa/157984,,0.0,0.0
Acorus calamus,Acorus calamus,,,398.0,398,400.0,811,Parts Indistinguishable,Wildflowers - No Apparent Leaves,No Apparent Leaves,,,,Wildflowers with No Apparent Leaves,https://www.inaturalist.org/taxa/82306,,0.0,0.0
Actinomeris alternifolia,Verbesina alternifolia,,Verbesina alternifolia,376.0,376,378.0,733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Daisylike or asterlike flowers or flowers with shining petals,,"Flower heads or flowers 1"" or more wide",https://www.inaturalist.org/taxa/117442,,0.0,0.0
Agastache scrophulariaefolia,Agastache scrophulariifolia,,Agastache scrophulariifolia,84.0,84,86.0,143,Irregular Flowers,Wildflowers - Opposite or Whorled Leaves,Leaves Toothed or Lobed,Flowers not yellow or yellowish,"Individual flowers stalkless, growing in 1 or more heads, spikes or whorls",,Stamens protruding,https://www.inaturalist.org/taxa/158084,https://www.inaturalist.org/taxa/158084,0.0,0.0
Alliaria officinalis,Alliaria petiolata,,Alliaria petiolata,138.0,138,140.0,433,4 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,"White, pink or purple flowers",Leaves not arrow-shaped,,Flowers in 1 or more spikes or racemes,https://www.inaturalist.org/taxa/56061,,0.0,0.0
Amaranthus graecizans,Amaranthus blitoides,,Amaranthus blitoides,406.0,406,408.0,832,Parts Indistinguishable,Wildflowers - Alternate Leaves,Leaves Entire,Stem neither white-woolly nor jointed,"Larger leaves under 2"" long",,Flowers growing mostly in the axils,https://www.inaturalist.org/taxa/58774,https://www.inaturalist.org/taxa/58774,0.0,0.0
Amianthium muscaetoxicum,Amianthium muscitoxicum,,Amianthium muscitoxicum,334.0,334,336.0,622,6 Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,Leaves narrow,,,"White, pink or greenish flowers",https://www.inaturalist.org/taxa/83015,,0.0,0.0
Amphicarpa bracteata,Amphicarpaea bracteata,,Amphicarpaea bracteata,110.0,108,116.0,164,Irregular Flowers,Vines,Leaves Divided,Leaves without tendrils,,,Leaflets 5 or more,https://www.inaturalist.org/taxa/85485,,0.0,0.0
Anagallis arvensis,Lysimachia arvensis,,Lysimachia arvensis,270.0,270,272.0,542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,"Pink, red, blue or purple flowers",https://www.inaturalist.org/taxa/791928,https://www.inaturalist.org/taxa/791928,0.0,0.0
