id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name
3257308,23b29ee6-c20b-432c-ae12-a9f95efab233,Sat Apr 30 2016 19:40:24 GMT-0400 (EDT),2016-04-30,2016-04-30 23:40:24 UTC,Eastern Time (US & Canada),16178,nathanlambstrom,Nathan Lambstrom,2016-05-21 21:01:40 UTC,2023-05-17 15:00:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3257308,https://inaturalist-open-data.s3.amazonaws.com/photos/3767447/medium.jpg,,"",,3,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2443031414,-73.5932051242,345,,,,345,,,false,,,Panax trifolius,Panax trifolius,dwarf ginseng,Plantae,123049,Panax trifolius,,,
3257351,3e4a6ec9-a522-4170-b842-5310f67e7cbf,Sat Apr 30 2016 19:01:46 GMT-0400 (EDT),2016-04-30,2016-04-30 23:01:46 UTC,Eastern Time (US & Canada),16178,nathanlambstrom,Nathan Lambstrom,2016-05-21 21:02:44 UTC,2017-12-08 19:56:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3257351,https://inaturalist-open-data.s3.amazonaws.com/photos/3767469/medium.jpg,,"",,2,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2396895135,-73.5900523657,465,,,,465,,,false,,,Dutchman's breeches,Dicentra cucullaria,Dutchman's breeches,Plantae,51053,Dicentra cucullaria,,,
3257363,ea1c70f9-baea-486a-87e4-f88aeb31e2f0,Sat Apr 30 2016 18:52:59 GMT-0400 (EDT),2016-04-30,2016-04-30 22:52:59 UTC,Eastern Time (US & Canada),16178,nathanlambstrom,Nathan Lambstrom,2016-05-21 21:03:16 UTC,2019-01-12 17:17:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3257363,https://inaturalist-open-data.s3.amazonaws.com/photos/3767483/medium.jpg,,,,1,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2430903245,-73.5931833016,625,,,,625,,,false,,,Rue-anemone,Thalictrum thalictroides,rue anemone,Plantae,118548,Thalictrum thalictroides,,,
3257373,eedcdbc9-b97c-4cab-a91e-daf8a3310e61,Sat Apr 30 2016 19:16:31 GMT-0400 (EDT),2016-04-30,2016-04-30 23:16:31 UTC,Eastern Time (US & Canada),16178,nathanlambstrom,Nathan Lambstrom,2016-05-21 21:03:34 UTC,2022-10-18 17:19:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3257373,https://inaturalist-open-data.s3.amazonaws.com/photos/3767486/medium.jpg,,"",,2,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2413694989,-73.5926967179,581,,,,581,,,false,,,red trillium,Trillium erectum,red trillium,Plantae,50855,Trillium erectum,,,
3257423,5a6287e7-36f0-4179-b1ae-c2ba87282312,Sat Apr 30 2016 19:34:35 GMT-0400 (EDT),2016-04-30,2016-04-30 23:34:35 UTC,Eastern Time (US & Canada),16178,nathanlambstrom,Nathan Lambstrom,2016-05-21 21:05:29 UTC,2024-11-02 23:36:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3257423,https://inaturalist-open-data.s3.amazonaws.com/photos/3767519/medium.jpg,,"",,2,0,false,3,"Ward Pound Ridge Reservation, Pound Ridge, NY, US",41.2419503446,-73.5978048407,369,,,,369,,,false,,,Marsh-marigold,Caltha palustris,marsh marigold,Plantae,56224,Caltha palustris,,,
3910665,6659a5b5-9ab3-4e7c-b5e5-5346c3cd5f89,2016-08-17 6:21:31 PM EDT,2016-08-17,2016-08-17 22:21:31 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2016-08-18 12:12:09 UTC,2023-07-06 17:04:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3910665,https://inaturalist-open-data.s3.amazonaws.com/photos/4597987/medium.jpeg,,,,2,0,false,2,"Westchester County, US-NY, US",41.24638306,-73.61474498,10,,,,10,,,false,,,American Pokeweed,Phytolacca americana,American pokeweed,Plantae,48599,Phytolacca americana,,,
3910667,450195cd-94af-42a5-b2c2-4f5f6c77fe61,2016-08-17 6:25:43 PM EDT,2016-08-17,2016-08-17 22:25:43 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2016-08-18 12:12:11 UTC,2023-07-06 17:04:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3910667,https://inaturalist-open-data.s3.amazonaws.com/photos/4597989/medium.jpeg,,,,1,0,false,2,"Westchester County, US-NY, US",41.24625918,-73.61334182,10,,,,10,,,false,,,Common Milkweed,Asclepias syriaca,common milkweed,Plantae,47911,Asclepias syriaca,,,
3910668,12aec798-89ab-4209-9c18-5b6b5701d19e,2016-08-17 6:27:23 PM EDT,2016-08-17,2016-08-17 22:27:23 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2016-08-18 12:12:12 UTC,2023-07-06 17:04:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3910668,https://inaturalist-open-data.s3.amazonaws.com/photos/4597990/medium.jpeg,,,,1,0,false,2,"Westchester County, US-NY, US",41.24639917,-73.61363989,9,,,,9,,,false,,,Partridge Pea,Chamaecrista fasciculata,partridge pea,Plantae,127907,Chamaecrista fasciculata,,,
3910669,27f0bd47-9faf-48d3-b49e-45dfb84164e6,2016-08-17 6:30:12 PM EDT,2016-08-17,2016-08-17 22:30:12 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2016-08-18 12:12:13 UTC,2023-07-06 17:04:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3910669,https://inaturalist-open-data.s3.amazonaws.com/photos/4597991/medium.jpeg,,"",,3,0,false,2,"Westchester County, US-NY, US",41.24649592,-73.61468407,8,,,,8,,,false,,,Mile-a-minute-weed,Persicaria perfoliata,mile-a-minute weed,Plantae,131249,Persicaria perfoliata,,,
3910670,564c0daa-e1fd-4baa-9a96-e6d398de5163,2016-08-17 6:44:28 PM EDT,2016-08-17,2016-08-17 22:44:28 UTC,Eastern Time (US & Canada),105431,shaunmichael,Shaun Michael,2016-08-18 12:12:14 UTC,2024-04-01 14:14:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3910670,https://inaturalist-open-data.s3.amazonaws.com/photos/4597992/medium.jpeg,,"",,3,0,false,2,"Westchester County, US-NY, US",41.24674616,-73.61438784,8,,,,8,,,false,,,common liverwort,Marchantia polymorpha,Common Liverwort,Plantae,56406,Marchantia polymorpha,,,
5479306,e88c133e-3127-4de3-bee7-f21cf431ca36,2017/03/27 10 AM EDT,2017-03-27,2017-03-27 14:00:00 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-03-27 18:00:07 UTC,2020-09-17 16:51:59 UTC,research,,https://www.inaturalist.org/observations/5479306,https://static.inaturalist.org/photos/6747546/medium.jpeg,,"",,3,0,false,,"New York, US",41.2294095622,-73.6048633921,542,,,,27816,obscured,,true,,,Marginal Wood Fern,Dryopteris marginalis,marginal wood fern,Plantae,54410,Dryopteris marginalis,,,
5579808,42ed49ef-b3d1-4f52-993a-c0df91c2d1bd,Wed Apr 05 2017 09:46:33 GMT-0400 (EDT),2017-04-05,2017-04-05 13:46:33 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-04-05 16:40:37 UTC,2017-04-17 02:20:57 UTC,research,,https://www.inaturalist.org/observations/5579808,https://static.inaturalist.org/photos/6890840/medium.jpg,,"","",1,0,false,3,"New York, US",41.2440228606,-73.6140647731,1652,,,,27801,obscured,,true,,google,Red Deadnettle,Lamium purpureum,red deadnettle,Plantae,55851,Lamium purpureum,,,
5579862,661df4a9-b621-4ede-93c1-5d9f83de6625,Wed Apr 05 2017 09:57:28 GMT-0400 (EDT),2017-04-05,2017-04-05 13:57:28 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-04-05 16:45:03 UTC,2018-11-14 09:54:05 UTC,casual,,https://www.inaturalist.org/observations/5579862,https://static.inaturalist.org/photos/6890908/medium.jpg,,"","",1,0,true,3,"New York, US",41.2692244888,-73.6147352733,,,,,27816,obscured,,true,,"",ivies,Hedera helix,common ivy,Plantae,55882,Hedera helix,,,
6142826,8062d609-0a03-48c2-a7c8-a62f6a2b24f6,Mon May 08 2017 14:38:36 GMT-0400 (EDT),2017-05-08,2017-05-08 18:38:36 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-05-08 19:43:45 UTC,2017-05-08 20:08:39 UTC,research,,https://www.inaturalist.org/observations/6142826,https://static.inaturalist.org/photos/7697090/medium.jpg,,"",,1,0,false,3,"1361 Old Post Rd, Pound Ridge, NY, US",41.2467750385,-73.6145200886,,,,,,,,false,,,Lowbush Blueberry,Vaccinium angustifolium,lowbush blueberry,Plantae,84542,Vaccinium angustifolium,,,
6152715,46fa6ada-e3df-4b58-b7e2-9cd45dc41302,Mon May 08 2017 14:52:11 GMT-0400 (EDT),2017-05-08,2017-05-08 18:52:11 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-05-09 19:39:05 UTC,2018-11-18 21:15:09 UTC,research,,https://www.inaturalist.org/observations/6152715,https://static.inaturalist.org/photos/7712799/medium.jpg,,"",,3,0,false,3,"1361 Old Post Rd, Pound Ridge, NY, US",41.2466995365,-73.614446338,61,,,,61,,,false,,,Virginia spring beauty,Claytonia virginica,Virginia Springbeauty,Plantae,117434,Claytonia virginica,,,
6152718,55fff7d3-48ad-44d9-833b-16c90c8c3107,Mon May 08 2017 14:40:25 GMT-0400 (EDT),2017-05-08,2017-05-08 18:40:25 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-05-09 19:39:23 UTC,2017-05-09 19:49:54 UTC,needs_id,,https://www.inaturalist.org/observations/6152718,https://static.inaturalist.org/photos/7712806/medium.jpg,,"",,0,0,false,3,"1361 Old Post Rd, Pound Ridge, NY, US",41.2468576804,-73.6146881339,,,,,,,,false,,,,Carex pensylvanica,Pennsylvania sedge,Plantae,127326,Carex pensylvanica,,,
6152784,d400b51d-3a60-4e30-9f29-a69585741beb,Mon May 08 2017 14:45:07 GMT-0400 (EDT),2017-05-08,2017-05-08 18:45:07 UTC,Eastern Time (US & Canada),430866,lp15,"",2017-05-09 19:45:21 UTC,2018-11-14 07:56:47 UTC,needs_id,,https://www.inaturalist.org/observations/6152784,https://static.inaturalist.org/photos/7712868/medium.jpg,,"",,1,0,false,3,"1361 Old Post Rd, Pound Ridge, NY, US",41.2469429803,-73.6145494238,,,,,,,,false,,,mosses,Polytrichum,haircap mosses,Plantae,67912,,,,
